Time,Pitch,Roll
12.508,-28.31,-15.93
12.558,-30.16,-17.55
12.608,-31.90,-19.07
12.658,-33.56,-20.53
12.828,-41.92,-27.57
12.878,-43.08,-28.59
12.928,-44.20,-29.59
12.978,-45.23,-30.50
13.028,-46.22,-31.39
13.078,-47.17,-32.23
13.128,-48.07,-33.02
13.178,-48.93,-33.79
13.228,-49.73,-34.50
13.278,-50.50,-35.18
13.328,-51.23,-35.83
13.378,-51.93,-36.45
13.428,-52.60,-37.05
13.478,-53.22,-37.60
13.528,-53.81,-38.12
13.578,-54.38,-38.63
13.628,-54.92,-39.10
13.678,-55.44,-39.57
13.728,-55.91,-39.99
13.778,-56.37,-40.40
13.828,-56.81,-40.79
13.878,-57.23,-41.16
13.928,-57.63,-41.52
13.978,-58.00,-41.84
14.078,-61.18,-44.52
14.128,-61.38,-44.70
14.178,-61.57,-44.87
14.228,-61.77,-45.05
14.278,-61.91,-45.19
14.328,-62.07,-45.34
14.378,-62.23,-45.48
14.428,-62.37,-45.62
14.478,-62.52,-45.76
14.528,-62.64,-45.87
14.578,-62.77,-45.98
14.628,-62.88,-46.09
14.678,-63.00,-46.20
14.728,-63.11,-46.31
14.778,-63.20,-46.39
14.828,-63.30,-46.48
14.878,-63.39,-46.57
14.928,-63.48,-46.65
14.978,-63.57,-46.73
15.028,-63.64,-46.80
15.078,-63.72,-46.86
15.128,-63.79,-46.93
15.178,-63.85,-46.99
15.228,-63.93,-47.06
15.328,-66.81,-49.47
15.378,-66.72,-49.40
15.428,-66.64,-49.34
15.478,-66.56,-49.28
15.528,-66.52,-49.24
15.578,-66.42,-49.17
15.628,-66.36,-49.12
15.678,-66.30,-49.08
15.728,-66.24,-49.03
15.778,-66.20,-49.00
15.828,-66.13,-48.95
15.878,-66.08,-48.91
15.928,-66.04,-48.87
15.978,-65.99,-48.84
16.028,-65.96,-48.81
16.078,-65.91,-48.77
16.128,-65.87,-48.74
16.178,-65.83,-48.72
16.228,-65.80,-48.69
16.278,-65.77,-48.67
16.328,-65.73,-48.64
16.378,-65.70,-48.62
16.428,-65.67,-48.59
16.478,-65.65,-48.57
16.688,-74.69,-56.11
16.738,-74.18,-55.69
16.788,-73.73,-55.32
16.838,-73.30,-54.96
16.888,-72.89,-54.62
16.938,-72.52,-54.31
16.988,-72.14,-53.99
17.038,-71.79,-53.70
17.088,-71.45,-53.43
17.138,-71.14,-53.16
17.188,-70.85,-52.92
17.238,-70.55,-52.68
17.288,-70.28,-52.45
17.338,-70.02,-52.24
17.388,-69.78,-52.04
17.438,-69.56,-51.85
17.488,-69.33,-51.66
17.538,-69.12,-51.49
17.588,-68.92,-51.32
17.638,-68.73,-51.16
17.688,-68.56,-51.02
17.738,-68.38,-50.87
17.788,-68.22,-50.74
17.838,-68.06,-50.61
17.938,-70.74,-52.85
17.988,-70.48,-52.63
18.038,-70.19,-52.39
18.088,-69.94,-52.18
18.138,-69.70,-51.98
18.188,-69.47,-51.79
18.238,-69.26,-51.62
18.288,-69.05,-51.44
18.338,-68.85,-51.27
18.388,-68.67,-51.12
18.438,-68.49,-50.97
18.488,-68.33,-50.84
18.538,-68.16,-50.70
18.588,-68.01,-50.57
18.638,-67.87,-50.45
18.688,-67.73,-50.34
18.738,-67.61,-50.24
18.788,-67.48,-50.13
18.838,-67.36,-50.03
18.888,-67.25,-49.94
18.938,-67.14,-49.85
18.988,-67.05,-49.78
19.038,-66.95,-49.69
19.088,-66.86,-49.61
19.198,-70.16,-52.37
19.248,-69.91,-52.16
19.298,-69.69,-51.98
19.348,-69.44,-51.77
19.398,-69.23,-51.59
19.448,-69.02,-51.42
19.498,-68.83,-51.26
19.548,-68.65,-51.11
19.598,-68.47,-50.96
19.648,-68.30,-50.82
19.698,-68.14,-50.69
19.748,-67.99,-50.56
19.798,-67.86,-50.45
19.848,-67.71,-50.33
19.898,-67.58,-50.22
19.948,-67.46,-50.12
19.998,-67.35,-50.02
20.048,-67.24,-49.94
20.098,-67.13,-49.84
20.148,-67.03,-49.76
20.198,-66.93,-49.68
20.248,-66.85,-49.60
20.298,-66.77,-49.54
20.348,-66.68,-49.47
20.468,-70.56,-52.70
20.518,-70.28,-52.47
20.568,-70.03,-52.26
20.618,-69.80,-52.07
20.668,-69.55,-51.86
20.718,-69.33,-51.67
20.770,-65.51,-49.16
20.820,-61.91,-46.78
20.870,-58.49,-44.53
